,Eigenvalues,Variance,Cumulative_Variance
0,14.460555166822243,0.6287197898618364,0.6287197898618364
1,2.863062547332895,0.12448098031882147,0.7532007701806579
2,2.071842316789313,0.09008010072997011,0.843280870910628
3,1.2886394716416223,0.05602780311485313,0.8993086740254811
4,1.0252606384768213,0.044576549498992216,0.9438852235244733
5,0.2599358617551117,0.011301559206743982,0.9551867827312174
6,0.20997111289283021,0.009129178821427398,0.9643159615526448
7,0.1776180354964878,0.007722523282455989,0.9720384848351008
8,0.1553848394975316,0.006755862586849197,0.97879434742195
9,0.12416534107853025,0.005398493090370879,0.9841928405123209
10,0.0975879237497062,0.004242953206508964,0.9884357937188298
11,0.0750353093304844,0.0032624047534993207,0.9916981984723292
12,0.05985247499346559,0.0026022815214550247,0.9943004799937842
13,0.046063504758407765,0.002002761076452511,0.9963032410702367
14,0.027086401521696234,0.0011776696313780968,0.9974809107016148
15,0.024814004744657444,0.001078869771506845,0.9985597804731217
16,0.010900244799588356,0.000473923686938624,0.9990337041600603
17,0.007177814994116034,0.00031207891278765354,0.9993457830728479
18,0.006594336947825146,0.00028671030207935407,0.9996324933749273
19,0.004366215760208199,0.00018983546783513902,0.9998223288427625
20,0.002234921609206582,9.717050474811222e-05,0.9999194993475106
21,0.0017023116189823749,7.401354865140757e-05,0.999993512896162
22,0.00014920338827571924,6.487103838074747e-06,1.0
