Obs,PC_1,PC_2
Z(HD 15137),0.6138673953426947,0.29526702954537604
Z(HD 22951),0.345713794620921,0.5770783459737358
Z(HD 23180),0.45217020245202133,0.3535558035147559
Z(HD 23630),-1.1002940168652706,0.6709723025079184
Z(HD 24398),0.7320304166365831,0.08345110054918391
Z(HD 24534),1.2632171913824164,0.17466594157491044
Z(HD 24760),-0.9776188688505569,0.5736614836625785
Z(HD 24912),0.8731197004232681,0.33453336776589565
Z(HD 27778),0.9726242926006252,-0.4459059074969611
Z(HD 35149),-0.8640893098216037,0.5771980592615049
Z(HD 35715),-1.2005309037456342,0.7907213824876081
Z(HD 36822),-0.7942152579335455,0.7570650945795899
Z(HD 36861),-0.6614189698111723,0.5598824324118828
Z(HD 40111),-0.5287440172329088,0.6925573849901464
Z(HD 110432),1.4007682773138344,-0.5677268399338854
Z(HD 144217),0.13950687901156317,0.4808644137944047
Z(HD 145502),0.22998884000361003,0.35136040792639794
Z(HD 147165),1.316872503086861,0.22832125327935526
Z(HD 147933),2.9638454679405863,1.2153363175529202
Z(HD 149757),0.767881514802286,-0.10068376814516627
Z(HD 164284),-0.6376401139969269,0.47366830479610167
Z(HD 170740),1.8013541595256526,-0.05714797429204057
Z(HD 198478),2.5660632812940154,0.15759623032618866
Z(HD 202904),-0.8959168679556011,0.43537751769748095
Z(HD 207198),3.381135432512457,0.5326964478245235
Z(HD 209975),0.7144704964424011,0.06589118035500198
Z(HD 214680),-0.8162873048485528,0.6250000642345558
Z(HD 214993),-0.8618939142332459,0.7993794217099164
Z(HD 218376),-0.06511456324266618,0.49622893840022875
